"","day_of_week","calories"
"432","Monday",1570
"433","Monday",1980
"434","Monday",2314
"435","Monday",3288
"436","Monday",2070
"437","Monday",2225
"438","Monday",3064
"439","Monday",2033
"440","Monday",3374
"441","Monday",1497
"442","Monday",2771
"443","Monday",2484
"444","Monday",2194
"445","Monday",3055
"446","Monday",2752
"447","Monday",3403
"448","Monday",1909
"449","Monday",4005
"450","Monday",2547
"451","Monday",1688
"452","Monday",3802
"453","Tuesday",1970
"454","Tuesday",1402
"455","Tuesday",3123
"456","Tuesday",1347
"457","Tuesday",2638
"458","Tuesday",2793
"459","Tuesday",1595
"460","Tuesday",1632
"461","Tuesday",1861
"462","Tuesday",1882
"463","Tuesday",2057
"464","Tuesday",1551
"465","Tuesday",1980
"466","Tuesday",2236
"467","Tuesday",2929
"468","Tuesday",2291
"469","Tuesday",2223
"470","Tuesday",2784
"471","Tuesday",2093
"472","Tuesday",3088
"473","Tuesday",2450
"474","Tuesday",2060
"475","Tuesday",2584
"476","Tuesday",2012
"477","Tuesday",2939
"478","Tuesday",2781
"479","Tuesday",2846
"480","Tuesday",1813
"481","Tuesday",3763
"482","Tuesday",3093
"483","Tuesday",1928
"484","Tuesday",2860
"485","Wednesday",2159
"486","Wednesday",1670
"487","Wednesday",2489
"488","Wednesday",1348
"489","Wednesday",2063
"490","Wednesday",2463
"491","Wednesday",1593
"492","Wednesday",1481
"493","Wednesday",2194
"494","Wednesday",1966
"495","Wednesday",2095
"496","Wednesday",1377
"497","Wednesday",1980
"498","Wednesday",2324
"499","Wednesday",3074
"500","Wednesday",2361
"501","Wednesday",2098
"502","Wednesday",2908
"503","Wednesday",1922
"504","Wednesday",3294
"505","Wednesday",2576
"506","Wednesday",2743
"507","Wednesday",1841
"508","Wednesday",2034
"509","Wednesday",2830
"510","Wednesday",2693
"511","Wednesday",2852
"512","Wednesday",2008
"513","Wednesday",3061
"514","Wednesday",3142
"515","Wednesday",2067
"516","Wednesday",3808
"517","Thursday",1898
"518","Thursday",1401
"519","Thursday",3108
"520","Thursday",1992
"521","Thursday",2351
"522","Thursday",2296
"523","Thursday",1649
"524","Thursday",1473
"525","Thursday",1854
"526","Thursday",1835
"527","Thursday",1972
"528","Thursday",1407
"529","Thursday",1980
"530","Thursday",2367
"531","Thursday",2969
"532","Thursday",2203
"533","Thursday",2185
"534","Thursday",3033
"535","Thursday",1999
"536","Thursday",3580
"537","Thursday",1879
"538","Thursday",2687
"539","Thursday",1993
"540","Thursday",2182
"541","Thursday",2836
"542","Thursday",2862
"543","Thursday",3062
"544","Thursday",1580
"545","Thursday",2884
"546","Thursday",2757
"547","Thursday",2780
"548","Thursday",3060
"549","Friday",1837
"550","Friday",1404
"551","Friday",2498
"552","Friday",1856
"553","Friday",2063
"554","Friday",2611
"555","Friday",1692
"556","Friday",1410
"557","Friday",403
"558","Friday",1780
"559","Friday",2044
"560","Friday",1545
"561","Friday",1980
"562","Friday",2175
"563","Friday",2979
"564","Friday",2196
"565","Friday",1918
"566","Friday",3165
"567","Friday",2169
"568","Friday",3544
"569","Friday",2560
"570","Friday",2060
"571","Friday",1841
"572","Friday",2254
"573","Friday",3180
"574","Friday",2616
"575","Friday",2794
"576","Friday",1854
"577","Friday",2982
"578","Friday",3513
"579","Friday",3101
"580","Friday",2698
"581","Saturday",1947
"582","Saturday",1655
"583","Saturday",3846
"584","Saturday",1763
"585","Saturday",2064
"586","Saturday",2732
"587","Saturday",1506
"588","Saturday",1779
"589","Saturday",1830
"590","Saturday",1946
"591","Saturday",1650
"592","Saturday",1980
"593","Saturday",2092
"594","Saturday",3283
"595","Saturday",2363
"596","Saturday",2105
"597","Saturday",3115
"598","Saturday",1463
"599","Saturday",4501
"600","Saturday",2275
"601","Saturday",2843
"602","Saturday",2280
"603","Saturday",2002
"604","Saturday",2051
"605","Saturday",2995
"606","Saturday",2408
"607","Saturday",0
"608","Saturday",2660
"609","Saturday",3164
"610","Saturday",2896
"611","Saturday",4398
"612","Sunday",1820
"613","Sunday",2690
"614","Sunday",2696
"615","Sunday",1541
"616","Sunday",2411
"617","Sunday",2380
"618","Sunday",1447
"619","Sunday",1403
"620","Sunday",1739
"621","Sunday",1237
"622","Sunday",1501
"623","Sunday",1980
"624","Sunday",1593
"625","Sunday",2926
"626","Sunday",2246
"627","Sunday",1692
"628","Sunday",2017
"629","Sunday",1747
"630","Sunday",4546
"631","Sunday",2361
"632","Sunday",3327
"633","Sunday",2319
"634","Sunday",1740
"635","Sunday",2225
"636","Sunday",2730
"637","Sunday",1886
"638","Sunday",3369
"639","Sunday",2596
"640","Sunday",1962
"641","Sunday",2786
"642","Monday",2004
"643","Monday",1497
"644","Monday",2580
"645","Monday",1348
"646","Monday",2505
"647","Monday",2473
"648","Monday",1690
"649","Monday",1613
"650","Monday",1878
"651","Monday",1760
"652","Monday",2207
"653","Monday",2270
"654","Monday",3147
"655","Monday",2336
"656","Monday",2066
"657","Monday",2859
"658","Monday",1996
"659","Monday",3014
"660","Monday",2044
"661","Monday",2725
"662","Monday",1841
"663","Monday",2162
"664","Monday",2642
"665","Monday",2754
"666","Monday",1988
"667","Monday",3491
"668","Monday",2894
"669","Monday",2015
"670","Monday",2189
"671","Tuesday",1990
"672","Tuesday",1334
"673","Tuesday",3324
"674","Tuesday",1742
"675","Tuesday",2195
"676","Tuesday",2752
"677","Tuesday",1604
"678","Tuesday",1878
"679","Tuesday",1906
"680","Tuesday",1710
"681","Tuesday",2828
"682","Tuesday",2235
"683","Tuesday",3290
"684","Tuesday",2421
"685","Tuesday",1953
"686","Tuesday",3145
"687","Tuesday",2116
"688","Tuesday",3795
"689","Tuesday",1496
"690","Tuesday",2671
"691","Tuesday",1843
"692","Tuesday",2072
"693","Tuesday",2976
"694","Tuesday",2754
"695","Tuesday",3023
"696","Tuesday",3784
"697","Tuesday",3212
"698","Tuesday",2297
"699","Tuesday",2817
"700","Wednesday",1819
"701","Wednesday",1368
"702","Wednesday",2222
"703","Wednesday",1549
"704","Wednesday",2338
"705","Wednesday",2649
"706","Wednesday",1658
"707","Wednesday",1426
"708","Wednesday",2015
"709","Wednesday",1628
"710","Wednesday",3879
"711","Wednesday",2282
"712","Wednesday",3162
"713","Wednesday",2070
"714","Wednesday",1842
"715","Wednesday",3004
"716","Wednesday",1698
"717","Wednesday",2755
"718","Wednesday",1902
"719","Wednesday",2718
"720","Wednesday",1841
"721","Wednesday",2086
"722","Wednesday",1557
"723","Wednesday",2655
"724","Wednesday",2918
"725","Wednesday",3110
"726","Wednesday",2516
"727","Wednesday",2067
"728","Wednesday",3477
"729","Thursday",1959
"730","Thursday",1370
"731","Thursday",2463
"732","Thursday",1589
"733","Thursday",2063
"734","Thursday",2609
"735","Thursday",1926
"736","Thursday",1780
"737","Thursday",1971
"738","Thursday",1618
"739","Thursday",3429
"740","Thursday",2530
"741","Thursday",2899
"742","Thursday",2120
"743","Thursday",2262
"744","Thursday",3006
"745","Thursday",2156
"746","Thursday",3004
"747","Thursday",2636
"748","Thursday",2682
"749","Thursday",1841
"750","Thursday",2066
"751","Thursday",2933
"752","Thursday",2386
"753","Thursday",2950
"754","Thursday",3783
"755","Thursday",3266
"756","Thursday",1688
"757","Thursday",3052
"758","Friday",1896
"759","Friday",1341
"760","Friday",3328
"761","Friday",1351
"762","Friday",2383
"763","Friday",2498
"764","Friday",1736
"765","Friday",1742
"766","Friday",1910
"767","Friday",1590
"768","Friday",2704
"769","Friday",2266
"770","Friday",3425
"771","Friday",2211
"772","Friday",1722
"773","Friday",2859
"774","Friday",1916
"775","Friday",2643
"776","Friday",1838
"777","Friday",2806
"778","Friday",2496
"779","Friday",1850
"780","Friday",2553
"781","Friday",2924
"782","Friday",2859
"783","Friday",3644
"784","Friday",2683
"785","Friday",1688
"786","Friday",4015
"787","Saturday",1821
"788","Saturday",1474
"789","Saturday",3404
"790","Saturday",1347
"791","Saturday",2229
"792","Saturday",1995
"793","Saturday",1491
"794","Saturday",1972
"795","Saturday",1897
"796","Saturday",1574
"797","Saturday",2975
"798","Saturday",2158
"799","Saturday",4022
"800","Saturday",2123
"801","Saturday",1973
"802","Saturday",3683
"803","Saturday",1494
"804","Saturday",1819
"805","Saturday",2469
"806","Saturday",2613
"807","Saturday",1032
"808","Saturday",1947
"809","Saturday",120
